Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Tags
Sipral,sipral.com,Construction,Czechia,201-500,https://www.linkedin.com/company/sipral,Sipral is a manufacturing company that specializes in industrial equipment and automation technology.,privately held,""
Christiani Produktions GmbH,christiani-produktion.de,,,,,"Christiani Produktions GmbH is a manufacturer of technical educational equipment for schools and training, specializing in equipment for the fields of elektrotechnics, automation technology, metal technology, and vehicle technology.",,""
Grupo Baw,grupobaw.com.ar,Machinery Manufacturing,"San Justo, Argentina",,https://www.linkedin.com/company/grupo-baw,Grupo Baw is a welding and cutting technology company that specializes in industrial equipment and engineering services.,sole proprietorship,""
Hankyu Inc,hank.co.jp,,Vietnam,,https://www.linkedin.com/company/%e9%98%aa%e4%b9%9d%e6%a9%9f%e6%a2%b0%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be,"Hankyu is a company that specializes in the sales of precision machinery, cleaning equipment, LCD devices, automation machinery, as well as the design and manufacturing of various custom machines.",,""
GMVT,gmvt.eu,Automation Machinery Manufacturing,"Leipheim, Germany",11-50,https://www.linkedin.com/company/gmvt-gmbh,"GMVT is an industrial automation company that offers automation of production processes, intelligent control technology, electronics and electrical engineering, software development, and machine safety solutions.",public company,""
Sterling Systems,sterlingsystems.com,,"3745 Stern Ave., St, 60174, St. Charles, Illinois, United States",,,Sterling Systems is a provider of industrial equipment and manufacturing solutions with a focus on process automation.,,""
PNEUTROL INTERNATIONAL,pneutrol.com,Automation Machinery Manufacturing,United Kingdom,11-50,https://www.linkedin.com/company/pneutrol-international-limited,"Pneutrol International is a company that specializes in the design, development, and manufacture of industrial components and process control solutions.",self owned,""
YANTAI VAYU MACHINERY CO,ytvayu.com,,,,,"Yantai Vayu Machinery Co is a manufacturing company that specializes in the design, R&D, and sale of resistance welding, precise welding, and consumables.",,""
PARTOOL,partool.de,Industrial Machinery Manufacturing,"Nürnberg, Germany",1-10,https://www.linkedin.com/company/partool,"Partool GmbH 
& Co. KG is a company that specializes in automation, software, and technical solutions, collaborating with industry professionals to provide products known for their effectiveness in daily operations.",partnership,""
PANAR Automazioni,panar.com,Automation Machinery Manufacturing,"Padova, Italy",1-10,https://www.linkedin.com/company/panar-automazioni,PANAR Automazioni is an industrial automation company that designs and implements automation solutions for production integration and provides loose components for industrial machinery.,partnership,""
阪神輸送機株式会社,hanshin-yusoki.co.jp,,Japan,201-500,https://www.linkedin.com/company/%e9%98%aa%e7%a5%9e%e8%bc%b8%e9%80%81%e6%a9%9f%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be,阪神輸送機株式会社 is a manufacturing solutions company that specializes in conveyor systems and automation for material handling.,,""
Lehnen Industrial Services,lehnendesign.com,Machinery Manufacturing,"Keene, New Hampshire, United States",11-50,https://www.linkedin.com/company/lehnen-industrial-service-inc,Lehnen Industrial Services is an Industrial Services company that designs and builds custom machinery and provides software solutions for the life science industry.,privately held,""
Leku-ona,leku-ona.com,Wholesale,Spain,51-200,https://www.linkedin.com/company/leku-ona,"Leku-ona is a manufacturing company that specializes in a wide range of products and components related to automation in the areas of pneumatics, hydraulics, machining, laser cutting, and tube forming.",privately held,""
Eumig,eumig.com,"Appliances, Electrical, and Electronics Manufacturing","Anif, Austria",11-50,https://www.linkedin.com/company/eumig-industrie-tv,Eumig is a company in the control technology industry that specializes in developing and producing customized control systems for various applications.,public company,""
QUERO Automation,queroautomation.com,Automation Machinery Manufacturing,"Madrid, Spain",11-50,https://www.linkedin.com/company/quero-automation,QUERO Automation is an industrial technology company that provides engineering solutions and manufacturing services with a focus on automation and control systems.,privately held,""
Servotech Inc,servotechinc.com,Engineering Services,"Chicago, Illinois, United States",51-200,https://www.linkedin.com/company/servotechinc,Servotech is a provider of industrial automation and engineering solutions for manufacturing processes.,privately held,""
Smart Engineering,smartengineering.cl,"Appliances, Electrical, and Electronics Manufacturing",United States,1-10,https://www.linkedin.com/company/smart-engineering-spa,"Smart Engineering is an engineering company that specializes in electrical engineering projects, control and automation, integration of panels, as well as the sale of electrical products and solutions.",privately held,""
Solutions Engineering Pvt Ltd,solutionspk.com.pk,Engineering Services,India,201-500,https://www.linkedin.com/company/solutionsengineering,Solutions Engineering Pvt is an Industrial Automation company that provides reliable and economical automation and control solutions for the process industry in Pakistan.,privately held,""
Idea PLT,idea-plt.com,,"Kuala Lumpur, Malaysia",,https://www.linkedin.com/company/little-big-idea-plt,Idea PLT is a company in the robotics and automation industry that offers a one-stop product and service platform for robotic automation to unlock production process potential.,,""
ヤチヨコアシステム（株）,yachiyocoa.com,Wholesale,Japan,201-500,https://www.linkedin.com/company/%e3%83%a4%e3%83%81%e3%83%a8%e3%82%b3%e3%82%a2%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%ef%bc%88%e6%a0%aa%ef%bc%89,ヤチヨコアシステム（株） is a provider of automation systems and industrial solutions for manufacturing technology.,,""
Industrial Taylor S.A.S.,industrialtaylor.com.co,Food and Beverage Services,"Bogotá, Colombia",201-500,https://www.linkedin.com/company/industrial-taylor-colombia,Industrial Taylor S.A.S is an industrial manufacturing company that specializes in equipment production and factory solutions.,privately held,""
Kristianstads Elektrotekniska,ket.se,,Sweden,,,Kristianstads Elektrotekniska is an electrical engineering company that provides automation solutions and electrical services.,,""
Wire mesh welding machine,lnmachine.com,Building Materials,"Hengshui, China",51-200,https://www.linkedin.com/company/chain-link-fence-machine,"Wire Mesh Welding Machine is a manufacturing company that specializes in producing industrial welding machines for wire mesh production, featuring Taiwan Delta PLC control and touch screen for stable operation and convenient worker interface.",,""
C.E.M.E.S. S.p.A.,cemes-spa.com,Railroad Equipment Manufacturing,"Pisa, Italy",201-500,https://www.linkedin.com/company/c.e.m.e.s.-s.p.a.,"C.E.M.E.S. S.p.A is a manufacturing company that specializes in industrial equipment, automation, and engineering services.",privately held,""
Kombitec,kombitec.com.mx,Wholesale,"93010, Wisconsin, United States",,https://www.linkedin.com/company/kombitec,"Kombitec S.A de C.V is a provider of industrial control and automation equipment in San Luis Potosí, offering a range of products such as botonería, cajas, convertidores de energía, and contactos.",,""
Factory,factory.fr,Design Services,France,51-200,https://www.linkedin.com/company/factory-fr,Factory is a manufacturing company that specializes in industrial production and automation.,partnership,""
Dies Plus,diesplus.com,Industrial Automation,"Itasca, Illinois, United States",,https://www.linkedin.com/company/dies-plus,Dies Plus is an industrial automation company that specializes in providing automation solutions for manufacturing processes.,,""
Advanced Material Processing (AMP),amprocessing.com,Machinery Manufacturing,"Marion, Iowa, United States",1-10,https://www.linkedin.com/company/amprocessing,Advanced Material Processing (AMP) is an industrial solutions provider that offers expert material handling and processing services backed by over 200 years of collective experience from renowned brands.,privately held,""
MC Machinery,mcmachinery.mx,,,,,MC Machinery is a manufacturing company that specializes in industrial machinery and automation.,,""
"Guangzhou Deken LongJoin Smart System Equipment Co., Limited",dklongjoin.com,Semiconductor Manufacturing,"Guangzhou, China",201-500,https://www.linkedin.com/company/guangzhoudekenlongjoin,"Guangzhou Deken LongJoin Smart System Equipment Co., Limited is a provider of smart system equipment and technology solutions for industrial automation.",public company,""
R&D Engineering,randde.com,Industrial Machinery Manufacturing,"Brooklyn Park, Minnesota, United States",1-10,https://www.linkedin.com/company/r-d-engineering,"R & D Engineering is a Medical Device Manufacturing company that specializes in designing, developing, and manufacturing precision machined parts, tooling, fixtures, and assembly equipment with a focus on engineering services, machining technology, and automation integration.",privately held,""
IMS Global Gear & Machining,globalgearllc.com,Motor Vehicle Manufacturing,"Downers Grove, Illinois, United States",51-200,https://www.linkedin.com/company/ims-global-gear-%26-machining-llc,IMS Global Gear & Machining is a precision manufacturing company that specializes in high volume gear production using advanced engineering software and automation equipment.,privately held,""
DEVELOP LLC,develop-llc.com,Automation Machinery Manufacturing,"Verona, Wisconsin, United States",11-50,https://www.linkedin.com/company/develop-its-what-we-do,DEVELOP is an industrial technology company that provides innovative automation and integration solutions to help businesses enhance efficiency and scalability.,privately held,""
德派装配科技,deprag.com.cn,Machinery Manufacturing,China,201-500,https://www.linkedin.com/company/deprag-dat,德派装配科技 is an industrial automation company that specializes in assembly technology and manufacturing equipment.,public company,""
Mepsa,mepsa.es,Industrial Automation,"Artés, Spain",51-200,https://www.linkedin.com/company/mepsa-grinding-polishing,"Mepsa is a machinery manufacturing company that specializes in the design and construction of automatic equipment for polishing, grinding, deburring, and satin finishing of metal parts and other materials.",privately held,""
NOMOTEC Automation,nomotec.at,Industrial Machinery Manufacturing,"Groß-Enzersdorf, Austria",11-50,https://www.linkedin.com/company/nomotec,NOMOTEC Automation is a machine building company that specializes in the production of highly efficient production lines and machine tools for clients in the automotive industry.,partnership,""
Borbeck-Vogelheim,borbeck-vogelheim.de,Religious Institutions,"Essen, Germany",1-10,https://www.linkedin.com/company/borbeck-vogelheim,"Borbeck-Vogelheim is an industrial services company that specializes in engineering, manufacturing, and automation solutions.",,""
Zergiebel Schweisstechnik GmbH,zergiebel.de,Machinery Manufacturing,"Celle, Germany",11-50,https://www.linkedin.com/company/zergiebel-schweisstechnik,Zergiebel Schweisstechnik GmbH is a company that specializes in welding technology and metal processing for industrial and oil sectors.,self owned,""
Shibaura Machine India,shibauramachine.co.in,Machinery Manufacturing,"Chennai, India",501-1000,https://www.linkedin.com/company/shibauramachineindia,"Shibaura Machine India is a plastics machinery manufacturer that offers precision, speed, and efficiency, leveraging decades of expertise and innovation.",privately held,""
"Foshan SHUNDE District XIANDAO Intelligent Machinery Co., ltd.",xendoll.com,,"Foshan, China",201-500,https://www.linkedin.com/company/foshan-shunde-district-xiandao-intelligent-machinery-co.-ltd.,"Foshan SHUNDE District XIANDAO Intelligent Machinery Co., ltd is a company specializing in intelligent machinery and industrial automation solutions.",,""
Bristol Machine Works,bristolmachine.com,Machinery Manufacturing,"Greater Sudbury, Canada",51-200,https://www.linkedin.com/company/bristol-machine-works-limited,"Bristol Machine Works is a manufacturing company that specializes in the production and assembly of machined and welded components, offering fabrication and repair services.",privately held,""
Rocky fr SanQiao Welding,sanqiaoco.com,Machinery Manufacturing,"Foshan, China",201-500,https://www.linkedin.com/company/sanqiao-welding,SanQiao Welding is a manufacturing company that specializes in welding and cutting equipment with over 20 years of experience in the welding industry.,partnership,""
Dobot.nu,dobot.nu,Industrial Automation,"Tilburg, Netherlands",1-10,https://www.linkedin.com/company/dobotnu,Dobot is a Robotics company that specializes in developing and enhancing Robot arms for a wide audience.,self owned,""
株式会社サクラテック,sacra-tech.co.jp,,China,,https://www.linkedin.com/company/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%b5%e3%82%af%e3%83%a9%e3%83%86%e3%83%83%e3%82%af,株式会社サクラテック is a manufacturing company that specializes in metal parts processing and design/manufacture of FA equipment and industrial tools.,,""
Excel Enclosures,excelenclosures.com,Industrial Machinery Manufacturing,"Pune, India",51-200,https://www.linkedin.com/company/excel-enclosures02,"EXCEL ENCLOSURES is a metal enclosures manufacturer specializing in serving a wide range of industries including automation, equipment manufacturers, and large project industries.",self owned,""
Prime Automation,primeautomation.co.za,,,,,"Prime Automation is an automation technology company that specializes in providing innovative safety systems for human, machine, and environmental safety in various industries.",,""
Piab Group,piabgroup.com,Automation Machinery Manufacturing,"Stockholm, Sweden",1001-5000,https://www.linkedin.com/company/piab-group,Piab Group is a leader in vacuum technology solutions for industrial automation and material handling.,privately held,""
(株)フェニックスエンジニアリング,phoenixeng.co.jp,Design Services,Japan,201-500,https://www.linkedin.com/company/%ef%bc%88%e6%a0%aa%ef%bc%89%e3%83%95%e3%82%a7%e3%83%8b%e3%83%83%e3%82%af%e3%82%b9%e3%82%a8%e3%83%b3%e3%82%b8%e3%83%8b%e3%82%a2%e3%83%aa%e3%83%b3%e3%82%b0,Phoenix Engineering Corporation is an engineering company that specializes in manufacturing innovative technology solutions with a focus on automation.,,""
United Robotics Group,unitedrobotics.group,Automation Machinery Manufacturing,"Bochum, Germany",201-500,https://www.linkedin.com/company/united-robotics-group,United Robotics Group is a robotics company that specializes in automation and advanced technology solutions.,privately held,""
DesignPro Robotics,designprorobotics.com,Automation Machinery Manufacturing,"Limerick, Ireland",11-50,https://www.linkedin.com/company/designpro-robotics,DesignPro Robotics is a company that specializes in integrating KUKA Robotics systems for various applications in Ireland.,,""
Arbeitskreis Automatisierung,arbeitskreis-automatisierung.de,,"Osnabrück, Germany",,https://www.linkedin.com/company/arbeitskreis-automatisierung,Arbeitskreis Automatisierung e is an industrial automation company that provides trusted expertise in automation solutions.,,""
PWT,pwt.de,Industrial Machinery Manufacturing,"Zwingenberg, Germany",51-200,https://www.linkedin.com/company/pwt-wasser--und-abwassertechnik-gmbh,PWT is an engineering company that specializes in automation and manufacturing for industrial services.,partnership,""
Amitime,amitime.com,"Appliances, Electrical, and Electronics Manufacturing","Zhongshan, China",1001-5000,https://www.linkedin.com/company/amitime-electric-co-ltd,Amitime Electric is a company in the electrical equipment industry that specializes in electronics manufacturing and industrial automation.,partnership,""
Excelpro,excelpro.ca,Engineering Services,"Trois-Rivières, Canada",501-1000,https://www.linkedin.com/company/excelpro,Excelpro is an automation and industrial electrical services provider that specializes in the integration of automated systems and the manufacturing of control panels and robotic equipment.,privately held,""
Müller & Pfeiffer GmbH,mueller-pfeiffer.de,Automation Machinery Manufacturing,"Chemnitz, Germany",,https://www.linkedin.com/company/m%c3%bcller-%26-pfeiffer-gmbh,"Müller & Pfeiffer GmbH is an engineering company that specializes in construction, EPLAN and programming, screwdriving technology and special tools, assembly automation and process optimization, human-robot collaboration, and tool and machinery trading.",,""
TES 2000,tes2000.co.uk,Rail Transportation,"Colchester, United Kingdom",501-1000,https://www.linkedin.com/company/tes-2000-ltd,TES 2000 is an engineering services company that specializes in providing technology solutions and industrial automation.,privately held,""
SMC,smc.com.au,Automation Machinery Manufacturing,"Noblesville, Indiana, United States",10001+,https://www.linkedin.com/company/smc,SMC Australia is a manufacturing company that specializes in industrial automation solutions with a focus on pneumatics and robotics.,public company,""
Ageon Electronic Controls,ageon.com.br,Automation Machinery Manufacturing,"Palhoça, Brazil",51-200,https://www.linkedin.com/company/ageon-electronic-controls,Ageon Electronic Controls is a provider of electronic controls and automation solutions for industrial applications.,privately held,""
Arismo™,arismo.ru,Industrial Machinery Manufacturing,Russian Federation,201-500,https://www.linkedin.com/company/%d0%be%d0%be%d0%be-%d0%b0%d1%80%d0%b8%d1%81%d0%bc%d0%be-%d0%b8%d0%bd%d0%b6%d0%b8%d0%bd%d0%b8%d1%80%d0%b8%d0%bd%d0%b3,"Arismo™ is a manufacturing company specializing in industrial equipment, automation, and robotics.",privately held,""
DTEC,dtec.at,,Germany,,,"DTEC is a full-service company that offers individual automation solutions in laser welding, cutting, tube processing, testing and joining technology, robotics, and machine integration.",,""
Dental Manufacturing Unit,dmu-gmbh.at,Automation Machinery Manufacturing,"Puch bei Hallein, Austria",11-50,https://www.linkedin.com/company/dmu-gmbh,Dental Manufacturing Unit is a medical devices manufacturing company that specializes in automating medical processes and product development from prototyping to series production.,privately held,""
Fsk industries GmbH & Co. KG,fsk-industries.de,Machinery Manufacturing,"Gummersbach, Germany",11-50,https://www.linkedin.com/company/fsk-industries-gmbh-co-kg,fsk industries GmbH & Co. KG is an Industrial Engineering company that specializes in innovative technologies and precision machinery manufacturing with a focus on automation solutions.,public company,""
Enprotech,enprotech.com,Industrial Machinery Manufacturing,"Cleveland, Ohio, United States",201-500,https://www.linkedin.com/company/enprotech-llc,"Enprotech Corporation is a provider of industrial machinery, manufacturing equipment, automation solutions, and engineering services.",privately held,""
Reca Italia,recaitalia.it,Retail Office Equipment,"Arcole, Italy",11-50,https://www.linkedin.com/company/reca-italia-srl,Reca Italia is a manufacturing company that specializes in industrial equipment production and automation.,partnership,""
IPSH SDN BHD,ipsh.com.my,Automation Machinery Manufacturing,"Petaling Jaya, Malaysia",11-50,https://www.linkedin.com/company/ipshmalaysia,"IPSH SDN BHD is a company in the field of instrumentation and control that provides high-quality products, solutions, and services by collaborating with principal manufacturers globally.",privately held,""
Hoa Thinh Production and Trading JSC.,hoathinh.com.vn,Metalworking Machinery Manufacturing,"Ho Chi Minh City, Vietnam",11-50,https://www.linkedin.com/company/hoathinh-production-and-trading-jsc,"Hoa Thinh Production and Trading JSC is a manufacturing and trading company specializing in welding technology and supplies, representing world-known brands like MILLER.",partnership,""
Perdok BV,perdok.nl,Mechanical or Industrial Engineering,"Heerenveen, Netherlands",11-50,https://www.linkedin.com/company/perdok-aandrijving-besturingstechniek,"Perdok BV is an engineering company that specializes in drive and control technology, offering comprehensive installation and maintenance services under one roof.",privately held,""
Automatron,automatron.com.br,Industrial Automation,Madagascar,11-50,https://www.linkedin.com/company/automatrontecind,Automatron is a Industrial Automation company that provides complete solutions for industrial automation processes through partnerships with leading global brands.,privately held,""
Uniarc,uniarc.com.br,Automation Machinery Manufacturing,"Atibaia, Brazil",1-10,https://www.linkedin.com/company/uniarc,"Uniarc is a welding automation company that specializes in mechanization and automation systems for arc welding processes such as MIG-MAG, Submerged Arc, TIG, and Plasma.",privately held,""
Бергон,bergon.net,,,,,Бергон is a manufacturing company that specializes in providing industrial equipment and production solutions.,,""
Tridak,tridak.com,Automation Machinery Manufacturing,"Torrington, Connecticut, United States",1-10,https://www.linkedin.com/company/tridak,Tridak is a fluid dispensing systems distributor that offers custom automation and robotic solutions designed to enhance manufacturing efficiency and address specific customer challenges.,privately held,""
GUSS Schweißtechnik,guss-schweisstechnik.de,,"Berlin, Germany",,https://www.linkedin.com/company/guss-schwei%c3%9ftechnik,"GUSS Schweißtechnik is a specialized trade in welding and industrial technology offering a range of materials, equipment, accessories, work safety products, and automation technology.",,""
Rede Industrial,redeindustrial.com.br,Automation Machinery Manufacturing,Serbia,51-200,https://www.linkedin.com/company/sigma---sistema-gerencial-de-manuten%c3%a7%c3%a3o,Rede Industrial is a provider of industrial services and manufacturing solutions with a focus on engineering equipment and industrial automation.,privately held,""
Easy Robots,easyrobots.eu,Industrial Machinery Manufacturing,"Radom, Poland",11-50,https://www.linkedin.com/company/easyrobots,Easy Robots is a robotics company that specializes in manufacturing 6-axis manipulators and is a leading provider of automation and robotization services.,privately held,""
Schäfer&SIS,schaefer-sis.de,Freight and Package Transportation,"Neunkirchen, Germany",201-500,https://www.linkedin.com/company/sch%c3%a4fer-%26-sis-interlogistik-gmbh,"Schäfer&SIS is an Engineering Services company that provides Industrial Solutions, Automation, and Technology Integration.",public company,""
ARE Roboty,arerobot.com,,,,,ARE Roboty is a robotics company that offers innovative and mobile robots suitable for construction sites and manufacturing facilities.,,""
BERFA AG,berfa.ch,Automation Machinery Manufacturing,"Wilchingen, Switzerland",1-10,https://www.linkedin.com/company/berfa-ag,BERFA is an engineering company that specializes in the automation of industrial process plants and machinery.,public company,""
MGL (Grupa MAGO),mgltechnika.pl,"Transportation, Logistics, Supply Chain and Storage","Rawa Mazowiecka, Poland",201-500,https://www.linkedin.com/company/mgltechnika,MGL is an engineering services company that specializes in automation solutions and industrial technology.,privately held,""
Sopvalm Oy,sopvalm.fi,Machinery Manufacturing,"Viitasaari, Finland",1-10,https://www.linkedin.com/company/sopvalm-oy,Sopvalm Oy is a manufacturing company that specializes in producing complex welding and product assemblies with modern techniques.,,""
Aurel CZ,aurelcz.eu,Motor Vehicle Manufacturing,"Mladá Boleslav, Czechia",201-500,https://www.linkedin.com/company/aurel-cz,"Aurel CZ is a distributor of industrial equipment and electrical supplies, specializing in automation components.",privately held,""
Macromaq,macromaq.com.br,"Transportation, Logistics, Supply Chain and Storage","São José, Brazil",1001-5000,https://www.linkedin.com/company/macromaq,Macromaq is a Machinery Manufacturing company that provides industrial equipment and automation solutions.,privately held,""
Techma Ellwangen,techma-ellwangen.de,Technical and Vocational Training,"Ellwangen, Germany",1001-5000,https://www.linkedin.com/company/techma-ellwangen,techma Ellwangen is a technology-driven manufacturing company that specializes in engineering services and automation solutions for various industries.,educational,""
Ism-technic,ism-technic.com,Machinery Manufacturing,"Münchendorf, Austria",11-50,https://www.linkedin.com/company/ism-technic,ism-technic is an Automation Technology company that offers innovative solutions to enhance efficiency and optimize production processes with over 25 years of experience.,public company,""
Becker Robotic,becker-robotic.com,Automation Machinery Manufacturing,"Dülmen, Germany",201-500,https://www.linkedin.com/company/becker-robotic,Becker Robotic Equipment is a company that specializes in providing robotic equipment and automation technology for manufacturing solutions.,privately held,""
IEMA,iemasrl.com,Automation Machinery Manufacturing,"San Giorgio di Piano, Italy",51-200,https://www.linkedin.com/company/iema-srl,IEMA is an industrial automation company that specializes in the design and commissioning of electrical and electronic automatic machines for various industries.,privately held,""
Polimaquinas,polimaquinas.com.br,Industrial Machinery Manufacturing,"Bauru, Brazil",201-500,https://www.linkedin.com/company/polimaquinas,Polimaquinas is a manufacturing company that specializes in industrial machinery and automation solutions.,privately held,""
Jove Electronics Pvt Ltd. - India,joveelectronics.com,,"Pune, India",,https://www.linkedin.com/company/jove-electronics-pvt-ltd---india,"Jove Electronics is a system integrator that specializes in providing automation solutions for various industries including automobile, packaging, machine tool, printing, textile, electronics, food, and pharmaceutical.",,""
Rebels Grup,rebels-grup.ro,Automation Machinery Manufacturing,"Braşov, Romania",11-50,https://www.linkedin.com/company/rebels-grup,"Rebels Grup is an industrial company that offers welding, cutting, and industrial air filtering solutions for small scale applications and large scale industrial companies.",privately held,""
ИноксДрайв,inox-drive.ru,,,,,ИноксДрайв is a company that specializes in manufacturing industrial automation equipment for production systems with a focus on affordability and nationwide delivery services.,,""
EWM HIGHTEC WELDING s.r.o.,ewm.cz,Machinery Manufacturing,"Jiříkov, Czechia",201-500,https://www.linkedin.com/company/ewmhightecwelding,"EWM HIGHTEC WELDING s.r.o is a manufacturer of welding equipment and industrial machinery, specializing in advanced welding technology.",privately held,""
HONGKONG SINBON INDUSTRIAL LIMITED,sinbon.com.hk,International Trade and Development,China,11-50,https://www.linkedin.com/company/sinbon,"HONGKONG SINBON INDUSTRIAL LIMITED is a company that specializes in the design, production, and sales of various industrial equipment such as Metal Detectors, Check Weighers, and Liquid Filling Machines, offering comprehensive after-sales service through global agents.",privately held,""
Vision Mechatronics Pvt.,vmechatronics.com,"Appliances, Electrical, and Electronics Manufacturing",India,11-50,https://www.linkedin.com/company/vision-mechatronics-pvt.-ltd.,Vision Mechatronics is a company specializing in mechatronics solutions and automation for industrial machinery.,privately held,""
AutSistemas,autsistemas.com.br,Automation Machinery Manufacturing,"São Bernardo do Campo, Brazil",51-200,https://www.linkedin.com/company/aut-sistemas-de-automa%c3%a7%c3%a3o-ltda,"AutSistemas is a manufacturing company that specializes in providing special machines, machinery, tooling, retrofitting, automation, robotics, assembly, and measurement services.",privately held,""
PR Maskin,prmaskin.no,Wholesale Machinery,"Sandnes, Norway",1-10,https://www.linkedin.com/company/pr-maskin-as,PR Maskin AS is a provider of new and used machinery and equipment for metalworking and industrial applications.,privately held,""
"Zoe Industrial Technology Co., Ltd",zoe-industry.com,Commercial and Industrial Machinery Maintenance,China,201-500,https://www.linkedin.com/company/%e8%88%9f%e6%ac%a7%e5%b7%a5%e4%b8%9a%e7%a7%91%e6%8a%80-%e4%b8%8a%e6%b5%b7-%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,"Zoe Industrial Technology Co is an industrial automation products supplier and services provider with a branch in Germany for procurement, supplier development, and maintenance in Europe.",privately held,""
Kaptas Oy,kaptas.fi,,"14229, Calvados, France",,https://www.linkedin.com/company/kaptas-oy,"Kaptas Oy is an automation technology specialist company that offers industrial automation and production development services to various industries including pharmaceuticals, diagnostics, plastics, metals, and electronics.",,""
Reverie Power & Automation Engineering,reverie-bd.com,"Appliances, Electrical, and Electronics Manufacturing","Dhaka, Bangladesh",501-1000,https://www.linkedin.com/company/reverie-power-%26-automation-engineering-ltd-,Reverie Power & Automation Engineering is a company specializing in providing industrial power and automation solutions.,privately held,""
Zrobotyzowani,zrobotyzowani.com.pl,"Leisure, Travel & Tourism","Warsaw, Poland",1-10,https://www.linkedin.com/company/zrobotyzowani,"Zrobotyzowani is a technology company that specializes in engineering, manufacturing, and maintenance services with a focus on automation.",,""
Hera Automatisierungstechnik GmbH,hera-automatisierungstechnik.de,,"Bonn, Germany",,https://www.linkedin.com/company/hera-automatisierungstechnik-gmbh,Hera Automatisierungstechnik GmbH is an industrial automation company that specializes in solving complex automation tasks in collaboration with their customers.,,""
Shrijee Group,shrijee.com,Mechanical or Industrial Engineering,"Mumbai, India",201-500,https://www.linkedin.com/company/shrijee,"Shrijee Group is a sugar industry company that specializes in engineering, manufacturing, and automation of industrial equipment.",privately held,""
Blue Water Controls,bluewatercontrols.com,Automation Machinery Manufacturing,"United States, Michigan",11-50,https://www.linkedin.com/company/blue-water-controls,Blue Water Controls is a custom automation equipment provider that specializes in meeting the demands for all automation needs.,privately held,""
ILX,ilx.com.tr,Automation Machinery Manufacturing,"Ümraniye, Türkiye",11-50,https://www.linkedin.com/company/osh-m%c3%bchendislik-iml-ihr-d%c4%b1%c5%9f-tic-ltd-%c5%9fti-,"ILX is a company in the industrial automation sector that offers a catalog of automation products including warning lights, encoders, and products from global brands.",privately held,""
Tradimaq,tradimaq.com.br,Machinery Manufacturing,"Contagem, Brazil",1001-5000,https://www.linkedin.com/company/tradimaq,Tradimaq is a provider of industrial machinery and technology solutions.,partnership,""
Erhardt Leimer Steuerungstechnik GmbH,el-steuerungstechnik.com,,"Sankt Egidien, Germany",,https://www.linkedin.com/company/erhardt-leimer-steuerungstechnik-gmbh,"Erhardt+Leimer Group is a provider of control systems and automation technology, specializing in self-designed and externally designed control panels used in machines and plants worldwide.",,""
ARM ROBOTICS,arm-robotics.pl,Machinery Manufacturing,Poland,1-10,https://www.linkedin.com/company/arm-robotics,"ARM Automation Robotics Machines Sp. z o.o is a company that specializes in industrial automation, machinery construction, production automation, and remote equipment servicing.",partnership,""
Nodka,nodka.com,Environmental Services,China,,https://www.linkedin.com/company/%e4%b8%8a%e6%b5%b7%e8%af%ba%e8%be%be%e4%bd%b3%e8%87%aa%e5%8a%a8%e5%8c%96%e6%8a%80%e6%9c%af%e6%9c%89%e9%99%90%e5%85%ac%e5%8f%b8,NODKA Automation Technology is a provider of automation technology solutions for the manufacturing industry.,,""
Smooth Robotics,smooth-robotics.com,Automation Machinery Manufacturing,"Odense, Denmark",11-50,https://www.linkedin.com/company/smooth-robotics-aps,Smooth Robotics is a robotics company that specializes in automation technology for the manufacturing industry.,privately held,""
7robotics,7robotics.com,Automation Machinery Manufacturing,"Roseburg, Oregon, United States",1-10,https://www.linkedin.com/company/7robotics,7robotics is a robotics company that specializes in providing automated solutions for the wood products industry and beyond.,privately held,""
ELE Engineering,ele.se,Engineering Services,"Västerås, Sweden",51-200,https://www.linkedin.com/company/ele-engineering,"ELE Engineering is an engineering company that provides industrial technical solutions, specializing in automation, design, and manufacturing.",public company,""
Handke Industrietechnik Handels-,handke-industrie.de,Wholesale,"Lilienthal, Germany",11-50,https://www.linkedin.com/company/handke-industrietechnik,"Handke Industrietechnik Handels- is a company that offers a wide range of industrial products and solutions in assembly technology, including aluminum profiles, custom solutions, transfer systems, and plant construction.",partnership,""
Eksist d.o.o.,eksist.si,Industrial Automation,"Žiri, Slovenia",11-50,https://www.linkedin.com/company/eksistdoo,"Eksist d.o.o is a company that offers quality electrical services in the manufacture and implementation of automation for machines, devices, systems, and production processes.",privately held,""
Inprotec AG,inprotec-ag.de,Chemical Manufacturing,"Heitersheim, Germany",201-500,https://www.linkedin.com/company/inprotec-ag,Inprotec is an engineering company that specializes in providing industrial automation and technology solutions.,public company,""
HUISMAN lastechniek,huismanlastechniek.nl,Wholesale,Netherlands,11-50,https://www.linkedin.com/company/huisman-groep,HUISMAN lastechniek is a welding equipment distributor that offers a complete range of welding and cutting equipment along with 24/7 logistics services and nationwide service technicians.,self owned,""
